Date,Price,Open,High,Low,Vol.,Change %,Vol_clean
2026-04-10,630.0,629.8,635.0,629.8,3.71K,0.06%,3710.0
2026-04-09,629.6,627.6,629.6,624.4,1.94K,0.24%,1940.0
2026-04-08,628.1,630.6,632.4,625.8,3.41K,3.41%,3410.0
2026-04-07,607.4,609.6,610.8,604.6,1.91K,0.12%,1910.0
2026-04-02,606.7,594.9,606.8,592.9,0.69K,-0.30%,690.0
2026-04-01,608.5,607.2,609.6,603.1,22.73K,2.84%,22730.0
2026-03-31,591.7,588.6,592.8,586.5,1.21K,0.39%,1210.0
2026-03-30,589.4,593.8,594.8,586.0,2.44K,-0.41%,2440.0
2026-03-27,591.8,601.1,601.1,590.8,4.99K,-1.56%,4990.0
2026-03-26,601.2,606.1,607.3,599.0,16.29K,-0.82%,16290.0
2026-03-25,606.2,608.7,610.4,603.2,2.12K,0.41%,2120.0
2026-03-24,603.7,599.9,604.1,594.4,3.79K,0.78%,3790.0
2026-03-23,599.0,580.6,612.8,580.0,4.20K,1.32%,4200.0
2026-03-20,591.2,601.5,601.5,590.5,16.87K,-0.49%,16870.0
2026-03-19,594.1,595.6,596.1,590.7,6.24K,-1.31%,6240.0
2026-03-18,602.0,610.4,610.6,600.2,3.01K,-0.45%,3010.0
2026-03-17,604.7,599.0,609.0,596.9,2.04K,0.83%,2040.0
2026-03-16,599.7,598.1,605.4,596.7,2.92K,0.82%,2920.0
2026-03-13,594.8,595.7,602.7,594.4,2.71K,-0.90%,2710.0
2026-03-12,600.2,604.0,605.9,598.8,18.58K,-1.20%,18580.0
2026-03-11,607.5,611.6,612.4,605.5,8.63K,-1.71%,8630.0
2026-03-10,618.1,614.9,618.2,610.1,7.91K,2.47%,7910.0
2026-03-09,603.2,594.4,603.5,593.9,3.05K,-0.97%,3050.0
2026-03-06,609.1,625.2,625.2,604.7,1.78K,-2.17%,1780.0
2026-03-05,622.6,629.6,632.5,622.2,12.71K,-1.47%,12710.0
2026-03-04,631.9,626.2,633.7,625.8,36.44K,1.41%,36440.0
2026-03-03,623.1,625.3,625.3,615.6,2.33K,-1.60%,2330.0
2026-03-02,633.2,629.3,636.5,626.8,2.80K,-0.50%,2800.0
2026-02-27,636.4,640.9,640.9,632.9,1.39K,-0.66%,1390.0
2026-02-26,640.6,640.5,642.6,635.7,1.90K,0.52%,1900.0
2026-02-25,637.3,639.9,642.9,636.3,0.36K,0.27%,360.0
2026-02-24,635.6,633.7,638.7,631.7,2.15K,0.89%,2150.0
2026-02-23,630.0,639.0,639.9,627.9,1.41K,-1.33%,1410.0
2026-02-20,638.5,639.2,640.4,635.1,0.44K,0.30%,440.0
2026-02-19,636.6,636.9,637.0,632.3,1.61K,-0.70%,1610.0
2026-02-18,641.1,634.4,642.5,633.7,3.64K,1.07%,3640.0
2026-02-17,634.3,633.3,636.8,628.0,1.75K,-0.06%,1750.0
2026-02-16,634.7,635.7,637.2,633.8,2.64K,-0.31%,2640.0
2026-02-13,636.7,627.1,636.7,627.1,7.11K,1.13%,7110.0
2026-02-12,629.6,641.4,643.3,629.6,5.51K,-1.07%,5510.0
2026-02-11,636.4,642.1,644.7,633.9,2.32K,-1.07%,2320.0
2026-02-10,643.3,638.5,643.3,638.5,2.24K,0.44%,2240.0
2026-02-09,640.5,638.3,641.3,634.9,3.69K,0.82%,3690.0
2026-02-06,635.3,622.7,635.3,622.3,2.44K,2.14%,2440.0
2026-02-05,622.0,627.7,628.0,619.0,1.08K,-0.62%,1080.0
2026-02-04,625.9,627.8,630.3,625.1,1.67K,0.06%,1670.0
2026-02-03,625.5,625.9,630.3,625.2,0.88K,0.18%,880.0
2026-02-02,624.4,612.3,624.9,612.2,1.17K,1.13%,1170.0
2026-01-30,617.45,617.4,626.2,617.4,3.85K,-0.51%,3850.0
2026-01-29,620.6,627.5,627.9,620.6,0.36K,-0.70%,360.0
2026-01-28,625.0,629.2,629.7,624.6,2.13K,-0.33%,2130.0
2026-01-27,627.1,629.5,629.5,626.5,2.14K,-0.08%,2140.0
2026-01-26,627.6,627.2,630.0,627.1,1.61K,-0.52%,1610.0
2026-01-23,630.9,638.4,638.4,630.9,0.52K,-1.38%,520.0
2026-01-22,639.7,635.0,640.5,635.0,1.85K,1.60%,1850.0
2026-01-21,629.6,622.8,630.8,622.0,5.91K,0.88%,5910.0
2026-01-20,624.1,616.3,624.8,616.2,0.98K,0.43%,980.0
2026-01-19,621.4,621.7,621.7,620.1,0.67K,-1.27%,670.0
2026-01-16,629.4,631.0,631.6,628.9,36.94K,-0.24%,36940.0
2026-01-15,630.9,623.0,630.9,622.6,1.30K,1.58%,1300.0
2026-01-14,621.1,618.1,621.1,617.6,2.18K,0.40%,2180.0
2026-01-13,618.65,618.2,621.4,618.2,0.13K,-0.04%,130.0
2026-01-12,618.9,615.4,618.9,615.2,1.43K,0.13%,1430.0
2026-01-09,618.1,614.0,618.1,614.0,2.55K,0.95%,2550.0
2026-01-08,612.3,607.5,612.3,605.9,0.43K,0.34%,430.0
2026-01-07,610.2,614.5,614.5,609.3,0.28K,0.50%,280.0
2026-01-06,607.15,603.7,604.8,602.0,0.92K,0.82%,920.0
2026-01-05,602.2,598.9,603.3,593.4,2.27K,1.53%,2270.0
2026-01-02,593.1,589.5,592.6,589.5,0.93K,-0.15%,930.0
2025-12-31,594.0,594.0,594.0,594.0,0.01K,-0.37%,10.0
2025-12-30,596.2,597.6,598.1,595.9,0.82K,-0.10%,820.0
2025-12-29,596.8,602.9,602.9,596.8,0.11K,-0.62%,110.0
2025-12-24,600.5,600.5,600.5,600.5,,0.27%,
2025-12-23,598.9,602.8,603.0,598.9,4.20K,-0.77%,4200.0
2025-12-22,603.55,596.8,604.0,596.8,0.84K,1.16%,840.0
2025-12-19,596.6,593.5,596.6,593.1,1.58K,0.10%,1580.0
2025-12-18,596.0,591.3,597.9,590.8,2.35K,0.66%,2350.0
2025-12-17,592.1,594.2,596.5,592.1,2.41K,-0.13%,2410.0
2025-12-16,592.9,594.8,597.4,592.9,2.25K,-0.59%,2250.0
2025-12-15,596.4,603.2,603.5,596.4,1.10K,-0.58%,1100.0
2025-12-12,599.9,607.8,608.0,599.9,0.35K,-0.73%,350.0
2025-12-11,604.3,599.8,603.7,599.8,0.97K,1.68%,970.0
2025-12-10,594.3,590.8,594.3,589.9,4.06K,-0.07%,4059.9999999999995
2025-12-09,594.7,586.8,594.7,586.8,4.34K,0.32%,4340.0
2025-12-08,592.8,595.0,595.2,592.8,1.00K,-0.20%,1000.0
2025-12-05,594.0,593.3,595.0,592.3,0.13K,0.34%,130.0
2025-12-04,592.0,590.1,592.0,588.3,2.76K,0.95%,2760.0
2025-12-03,586.45,583.0,585.6,583.0,1.52K,0.63%,1520.0
2025-12-02,582.8,584.8,587.4,582.3,13.03K,-0.63%,13030.0
2025-12-01,586.5,584.2,586.5,583.5,29.90K,-0.42%,29900.0
2025-11-28,589.0,587.6,589.0,587.6,0.94K,0.60%,940.0
2025-11-27,585.5,587.1,587.1,585.4,1.35K,-0.36%,1350.0
2025-11-26,587.6,583.5,587.6,581.9,5.93K,1.43%,5930.0
2025-11-25,579.3,569.5,579.3,569.3,0.42K,1.92%,420.0
2025-11-24,568.4,565.8,568.4,562.5,0.55K,2.08%,550.0
2025-11-21,556.8,549.2,556.8,548.0,3.37K,-0.66%,3370.0
2025-11-20,560.5,561.8,568.3,560.5,1.49K,0.70%,1490.0
2025-11-19,556.6,557.4,559.5,556.6,0.34K,0.25%,340.0
2025-11-18,555.2,553.4,555.2,551.3,2.25K,-1.40%,2250.0
2025-11-17,563.1,566.8,567.6,561.3,0.48K,-0.88%,480.0
2025-11-14,568.1,564.8,568.6,558.2,11.25K,-0.87%,11250.0
2025-11-13,573.1,580.6,580.6,572.4,2.09K,-1.31%,2090.0
2025-11-12,580.7,581.0,583.6,579.5,0.66K,0.50%,660.0
2025-11-11,577.8,577.4,578.6,576.9,0.40K,0.26%,400.0
2025-11-10,576.3,576.8,580.0,576.3,8.40K,2.40%,8400.0
2025-11-07,562.8,568.6,568.7,562.7,1.09K,-1.02%,1090.0
2025-11-06,568.6,573.9,577.4,568.6,1.12K,-0.87%,1120.0
2025-11-05,573.6,570.7,573.6,569.0,1.43K,0.30%,1430.0
2025-11-04,571.9,571.4,573.1,569.2,0.41K,-0.63%,410.0
2025-11-03,575.5,579.1,579.2,573.1,0.83K,-0.17%,830.0
2025-10-31,576.5,574.1,576.9,574.1,0.24K,-0.81%,240.0
2025-10-30,581.2,582.3,583.3,580.6,1.34K,-1.26%,1340.0
2025-10-29,588.6,584.5,588.5,584.1,1.38K,0.17%,1380.0
2025-10-28,587.6,587.4,587.6,584.4,14.47K,-0.07%,14470.0
2025-10-27,588.0,591.2,592.3,588.0,10.77K,-0.03%,10770.0
2025-10-24,588.2,583.2,590.5,582.5,2.72K,1.80%,2720.0
2025-10-23,577.8,576.6,578.3,576.2,4.40K,0.47%,4400.0
2025-10-22,575.1,581.2,581.2,579.9,0.36K,-1.20%,360.0
2025-10-21,582.1,579.1,582.2,578.8,1.00K,0.60%,1000.0
2025-10-20,578.6,576.4,580.3,575.1,2.10K,1.60%,2100.0
2025-10-17,569.5,569.0,574.0,564.5,8.30K,-1.92%,8300.0
2025-10-16,580.65,583.2,584.6,579.7,17.18K,-0.25%,17180.0
2025-10-15,582.1,582.6,587.4,582.1,14.06K,1.59%,14060.0
2025-10-14,573.0,567.4,573.0,564.1,0.53K,0.14%,530.0
2025-10-13,572.2,569.9,572.2,567.3,6.98K,0.94%,6980.0
