Date,Open,High,Low,Close,Volume
2015-06-04,,,,1036.25,2480.0
2015-06-05,,,,1039.5,8350.0
2015-06-08,,,,1028.75,470.0
2015-06-09,,,,1026.75,1280.0
2015-06-10,,,,1016.5,410.0
2015-06-11,,,,1011.5,1200.0
2015-06-12,,,,1003.0,250.0
2015-06-15,,,,1024.0,100.0
2015-06-16,,,,1005.25,830.0
2015-06-17,,,999.0,1007.5,9880.0
2015-06-18,,,,1013.75,1320.0
2015-06-19,,,994.52,993.75,400.0
2015-06-22,994.47,,994.47,1006.5,3190.0
2015-06-23,995.34,995.34,995.34,988.25,1000.0
2015-06-24,987.44,995.0,987.44,995.12,890.0
2015-06-25,988.73,994.17,988.73,994.0,1060.0
2015-06-26,974.08,991.44,974.08,987.5,780.0
2015-06-29,996.88,996.88,984.0,978.5,4540.0
2015-06-30,976.04,976.07,975.82,979.0,310.0
2015-07-01,979.72,979.72,978.47,984.5,90.0
2015-07-02,984.6,984.6,984.6,985.0,90.0
2015-07-03,987.44,989.19,987.44,991.5,560.0
2015-07-06,985.06,985.06,985.06,989.75,100.0
2015-07-07,988.8,993.62,943.29,947.5,4590.0
2015-07-08,944.46,971.94,944.46,971.5,7990.0
2015-07-09,989.44,989.44,989.44,988.25,50.0
2015-07-10,984.71,984.71,977.25,985.0,3350.0
2015-07-13,981.64,985.44,973.0,981.0,3990.0
2015-07-14,975.12,975.12,969.1,968.25,4610.0
2015-07-15,964.0,966.1,953.0,948.25,3720.0
2015-07-16,947.6,947.6,944.4,946.75,950.0
2015-07-17,942.6,942.6,941.45,937.25,3300.0
2015-07-20,931.98,935.5,931.98,942.25,2610.0
2015-07-21,932.9,937.82,932.9,938.88,1490.0
2015-07-22,926.4,928.0,926.4,933.25,1890.0
2015-07-24,928.1,928.1,927.6,921.5,230.0
2015-07-27,931.52,933.1,925.9,928.25,5190.0
2015-07-28,924.6,924.6,924.6,925.5,20.0
2015-07-29,925.48,927.51,921.52,927.75,1590.0
2015-07-30,923.52,923.52,923.52,933.0,230.0
2015-07-31,922.6,933.5,922.6,935.75,2110.0
2015-08-03,926.52,926.52,926.52,922.25,100.0
2015-08-04,918.02,919.56,918.02,920.0,630.0
2015-08-06,918.32,925.0,915.74,929.5,3890.0
2015-08-07,947.82,947.82,947.82,951.75,20.0
2015-08-10,948.48,948.48,948.48,965.75,20.0
2015-08-11,968.79,968.79,963.56,965.5,2360.0
2015-08-12,968.44,980.44,968.44,977.25,1340.0
2015-08-13,971.02,976.92,967.25,976.0,1970.0
2015-08-14,973.18,973.18,966.24,960.25,1530.0
2015-08-17,958.32,958.32,958.32,966.88,30.0
2015-08-18,932.0,932.0,929.2,928.75,1220.0
2015-08-19,934.55,958.18,934.55,958.0,370.0
2015-08-20,965.14,970.68,965.14,972.75,1520.0
2015-08-21,962.18,970.11,953.89,960.5,4120.0
2015-08-24,949.94,951.1,915.72,935.12,20860.0
2015-08-25,916.22,925.19,916.22,919.38,1900.0
2015-08-26,908.64,910.91,882.99,894.12,22400.0
2015-08-27,905.35,916.26,902.14,931.0,3290.0
2015-08-28,923.84,923.84,923.84,928.25,110.0
2015-09-01,932.22,940.25,932.22,936.0,10210.0
2015-09-02,936.9,942.3,933.68,934.75,800.0
2015-09-03,949.32,960.72,949.32,945.75,1210.0
2015-09-04,961.0,961.0,938.59,944.25,1230.0
2015-09-07,934.32,934.32,931.98,933.5,1130.0
2015-09-08,940.79,940.79,939.68,950.0,1100.0
2015-09-09,943.21,945.25,941.43,935.25,5750.0
2015-09-10,937.86,940.7,937.86,933.38,1080.0
2015-09-11,919.06,919.06,919.06,916.62,1000.0
2015-09-14,920.4,920.5,918.13,918.38,1380.0
2015-09-15,913.14,918.0,913.14,918.88,3290.0
2015-09-16,927.27,942.54,927.27,944.88,1960.0
2015-09-17,947.75,947.75,947.75,951.88,420.0
2015-09-18,955.75,969.0,955.75,957.25,10440.0
2015-09-21,961.15,963.14,957.45,965.12,540.0
2015-09-22,962.84,962.84,952.93,945.5,50.0
2015-09-23,950.08,950.08,950.08,957.88,90.0
2015-09-24,954.0,967.56,954.0,974.62,400.0
2015-09-25,975.52,977.93,972.0,979.25,780.0
2015-09-28,967.4,967.4,958.85,939.38,380.0
2015-09-29,941.1,954.5,939.89,951.88,9360.0
2015-09-30,946.56,946.56,946.56,942.88,160.0
2015-10-01,948.1,948.1,948.1,947.25,100.0
2015-10-02,938.64,974.78,937.0,982.12,4340.0
2015-10-05,984.38,,984.38,1013.75,20840.0
2015-10-06,,,,1038.5,13640.0
2015-10-07,,,,1024.25,2150.0
