Date,Open,High,Low,Close
2010-09-15,120.65,120.65,120.65,120.25
2010-09-16,119.7,119.7,119.7,119.7
2010-09-17,119.6,119.6,119.6,120.92
2010-09-21,122.7,122.7,122.7,122.7
2010-09-22,120.98,120.98,120.98,120.98
2010-09-23,122.07,122.07,122.07,122.07
2010-09-24,122.69,122.69,122.69,122.69
2010-09-27,123.05,123.05,123.05,123.05
2010-09-28,123.05,123.05,123.05,123.51
2010-09-29,124.35,124.35,124.35,124.35
2010-09-30,123.43,123.43,123.43,123.43
2010-10-01,124.2,124.2,124.2,124.2
2010-10-04,122.93,122.93,122.93,122.93
2010-10-05,125.86,125.86,125.86,125.86
2010-10-06,126.25,126.25,126.25,126.25
2010-10-07,125.76,125.76,125.76,125.76
2010-10-08,126.29,126.29,126.29,126.29
2010-10-11,127.41,127.41,127.41,127.41
2010-10-12,127.13,127.13,127.13,127.13
2010-10-13,129.53,129.53,129.53,129.53
2010-10-14,129.17,129.17,129.17,129.17
2010-10-15,129.22,129.22,129.22,129.22
2010-10-18,129.05,129.05,129.05,129.05
2010-10-19,128.41,128.41,128.41,128.41
2010-10-20,128.65,128.65,128.65,128.65
2010-10-21,128.59,128.59,128.59,128.59
2010-10-22,128.39,128.39,128.39,128.39
2010-10-25,130.2,130.2,130.2,130.2
2010-10-26,129.7,129.7,129.7,129.7
2010-10-27,127.5,129.18,127.5,127.5
2010-10-28,128.38,128.38,128.38,128.38
2010-10-29,128.75,128.75,128.75,128.75
2010-11-01,128.71,128.71,128.71,128.71
2010-11-02,129.38,129.38,129.38,129.38
2010-11-03,130.18,130.18,130.18,130.18
2010-11-04,133.47,133.47,133.47,133.47
2010-11-05,134.6,134.6,134.6,134.6
2010-11-08,134.46,134.46,134.46,134.46
2010-11-09,134.59,134.59,134.59,134.59
2010-11-10,133.43,133.43,133.43,133.43
2010-11-11,133.57,133.57,133.57,133.57
2010-11-12,133.19,133.19,133.19,133.19
2010-11-15,133.21,133.21,133.21,133.21
2010-11-16,129.84,129.84,129.84,129.84
2010-11-17,130.27,130.27,130.27,130.27
2010-11-18,132.98,132.98,132.98,132.98
2010-11-19,132.65,132.65,132.65,132.65
2010-11-22,132.65,132.65,132.65,132.65
2010-11-23,131.28,131.28,131.28,131.28
2010-11-24,134.84,134.84,134.84,134.84
2010-11-26,134.64,134.64,134.64,134.64
2010-11-30,132.73,132.73,132.73,132.73
2010-12-01,136.11,136.11,136.11,136.11
2010-12-02,137.26,137.26,137.26,137.26
2010-12-03,137.79,137.79,137.79,137.79
2010-12-06,139.22,139.22,139.22,139.22
2010-12-07,141.02,141.02,141.02,141.02
2010-12-08,140.33,140.33,140.33,140.33
2010-12-09,140.29,140.29,140.29,140.29
2010-12-10,140.85,140.85,140.85,140.85
2010-12-13,142.35,142.35,142.35,142.35
2010-12-14,142.0,142.0,142.0,142.0
2010-12-15,142.45,142.45,142.45,142.45
2010-12-16,141.93,141.93,141.93,141.93
2010-12-17,142.06,142.06,142.06,142.06
2010-12-20,143.02,143.02,143.02,143.02
2010-12-21,143.91,143.91,143.91,143.91
2010-12-22,144.53,144.53,144.53,144.53
2010-12-23,144.89,144.89,144.89,144.89
2010-12-24,144.53,144.53,144.53,144.53
2010-12-29,144.7,144.7,144.7,144.7
2010-12-30,145.05,145.05,145.05,145.05
2010-12-31,144.43,144.43,144.43,144.43
2011-01-04,144.23,144.23,144.23,144.23
2011-01-05,145.68,145.68,145.68,145.68
2011-01-06,145.61,145.61,145.61,145.61
2011-01-07,144.53,144.53,144.53,144.53
2011-01-10,143.66,143.66,143.66,144.1
2011-01-11,146.58,146.58,146.58,146.58
2011-01-12,147.65,147.65,147.65,147.65
2011-01-13,147.59,147.59,147.59,147.59
2011-01-14,147.33,147.33,147.33,147.33
2011-01-17,147.9,147.9,147.9,147.9
2011-01-18,147.57,147.57,147.57,147.57
2011-01-19,146.89,146.89,146.89,146.89
2011-01-20,143.61,143.61,143.61,143.61
2011-01-21,144.1,144.1,144.1,144.1
2011-01-24,144.58,144.58,144.58,144.58
2011-01-25,143.52,143.52,143.52,143.52
2011-01-26,146.42,146.42,146.42,146.42
2011-01-27,146.21,146.21,146.21,146.21
2011-01-28,145.37,145.37,145.37,145.37
2011-01-31,145.67,145.67,145.67,145.67
2011-02-01,147.83,147.83,147.83,147.83
2011-02-02,148.4,148.4,148.4,148.4
2011-02-03,148.13,148.13,148.13,148.13
2011-02-04,148.14,148.14,148.14,148.14
2011-02-07,151.09,151.09,151.09,151.09
2011-02-08,150.86,150.86,150.86,150.86
2011-02-09,150.38,150.38,150.38,150.38
2011-02-10,151.31,151.31,151.31,151.31
2011-02-11,152.38,152.38,152.38,152.38
2011-02-14,153.71,153.71,153.71,153.71
2011-02-15,153.56,153.56,153.56,153.56
2011-02-16,154.28,154.28,154.28,154.28
2011-02-17,154.94,154.94,154.94,154.94
2011-02-18,155.57,155.57,155.57,155.57
2011-02-21,154.79,154.79,154.79,153.91
2011-02-22,154.01,154.01,154.01,154.01
2011-02-23,150.0,150.0,150.0,150.0
2011-02-24,149.36,149.36,149.36,149.36
2011-02-25,151.39,151.39,151.39,151.1
2011-02-28,152.4,152.4,152.4,152.84
2011-03-01,152.01,152.01,152.01,152.01
2011-03-02,150.91,150.91,150.91,150.91
2011-03-03,152.1,152.1,152.1,153.47
2011-03-04,154.55,154.55,154.55,153.14
2011-03-07,153.78,153.78,153.78,151.03
2011-03-08,153.25,153.25,153.25,153.25
2011-03-09,152.4,152.4,152.4,152.4
2011-03-10,149.43,149.43,149.43,149.43
2011-03-11,148.88,148.88,148.88,148.88
2011-03-14,148.06,148.06,148.06,148.06
2011-03-15,147.41,147.41,147.41,147.41
2011-03-16,147.41,147.41,147.41,147.41
2011-03-17,147.48,147.48,147.48,147.48
