Date,Open,High,Low,Close
2015-06-04,,,,1036.25
2015-06-05,,,,1039.5
2015-06-08,,,,1028.75
2015-06-09,,,,1026.75
2015-06-10,,,,1016.5
2015-06-11,,,,1011.5
2015-06-12,,,,1003.0
2015-06-15,,,,1024.0
2015-06-16,,,,1005.25
2015-06-17,,,999.0,1007.5
2015-06-18,,,,1013.75
2015-06-19,,,994.52,993.75
2015-06-22,994.47,,994.47,1006.5
2015-06-23,995.34,995.34,995.34,988.25
2015-06-24,987.44,995.0,987.44,995.12
2015-06-25,988.73,994.17,988.73,994.0
2015-06-26,974.08,991.44,974.08,987.5
2015-06-29,996.88,996.88,984.0,978.5
2015-06-30,976.04,976.07,975.82,979.0
2015-07-01,979.72,979.72,978.47,984.5
2015-07-02,984.6,984.6,984.6,985.0
2015-07-03,987.44,989.19,987.44,991.5
2015-07-06,985.06,985.06,985.06,989.75
2015-07-07,988.8,993.62,943.29,947.5
2015-07-08,944.46,971.94,944.46,971.5
2015-07-09,989.44,989.44,989.44,988.25
2015-07-10,984.71,984.71,977.25,985.0
2015-07-13,981.64,985.44,973.0,981.0
2015-07-14,975.12,975.12,969.1,968.25
2015-07-15,964.0,966.1,953.0,948.25
2015-07-16,947.6,947.6,944.4,946.75
2015-07-17,942.6,942.6,941.45,937.25
2015-07-20,931.98,935.5,931.98,942.25
2015-07-21,932.9,937.82,932.9,938.88
2015-07-22,926.4,928.0,926.4,933.25
2015-07-24,928.1,928.1,927.6,921.5
2015-07-27,931.52,933.1,925.9,928.25
2015-07-28,924.6,924.6,924.6,925.5
2015-07-29,925.48,927.51,921.52,927.75
2015-07-30,923.52,923.52,923.52,933.0
2015-07-31,922.6,933.5,922.6,935.75
2015-08-03,926.52,926.52,926.52,922.25
2015-08-04,918.02,919.56,918.02,920.0
2015-08-06,918.32,925.0,915.74,929.5
2015-08-07,947.82,947.82,947.82,951.75
2015-08-10,948.48,948.48,948.48,965.75
2015-08-11,968.79,968.79,963.56,965.5
2015-08-12,968.44,980.44,968.44,977.25
2015-08-13,971.02,976.92,967.25,976.0
2015-08-14,973.18,973.18,966.24,960.25
2015-08-17,958.32,958.32,958.32,966.88
2015-08-18,932.0,932.0,929.2,928.75
2015-08-19,934.55,958.18,934.55,958.0
2015-08-20,965.14,970.68,965.14,972.75
2015-08-21,962.18,970.11,953.89,960.5
2015-08-24,949.94,951.1,915.72,935.12
2015-08-25,916.22,925.19,916.22,919.38
