Date,Open,High,Low,Close
2010-09-08,99.37,99.37,98.81,98.81
2010-09-09,97.98,97.98,97.98,97.98
2010-09-10,98.02,98.02,98.02,98.02
2010-09-13,96.73,96.73,96.73,96.73
2010-09-14,97.93,98.32,97.91,97.91
2010-09-15,97.79,97.79,97.5,97.55
2010-09-16,97.2,97.46,97.2,97.46
2010-09-17,97.89,97.89,97.89,97.89
2010-09-20,97.86,98.11,97.86,98.09
2010-09-21,97.37,97.37,97.11,97.11
2010-09-22,97.05,97.05,96.35,96.4
2010-09-23,96.58,97.07,96.58,97.07
2010-09-24,97.11,97.17,96.1,96.1
2010-09-27,96.6,96.6,96.16,96.16
2010-09-28,96.08,96.22,95.75,96.22
2010-09-29,96.23,96.23,96.15,96.2
2010-09-30,96.21,96.3,95.61,95.61
2010-10-01,95.92,95.92,95.74,95.74
2010-10-04,96.11,96.12,96.0,96.12
2010-10-05,96.32,96.74,96.29,96.74
2010-10-06,97.35,97.45,96.82,96.82
2010-10-07,97.25,97.25,95.75,95.95
2010-10-08,95.77,96.78,95.77,96.78
2010-10-11,97.12,97.12,97.12,97.12
2010-10-12,97.43,97.63,97.34,97.34
2010-10-13,97.12,98.09,97.12,98.09
2010-10-14,98.23,98.23,97.69,97.69
2010-10-15,97.74,98.01,97.74,98.01
2010-10-18,98.14,98.14,98.14,98.14
2010-10-19,96.95,97.08,96.95,97.08
2010-10-20,96.2,96.28,96.2,96.28
2010-10-21,95.81,96.15,95.65,95.65
2010-10-22,94.92,95.11,94.89,95.11
2010-10-25,95.78,95.78,95.71,95.71
2010-10-26,96.35,96.35,96.35,96.35
2010-10-27,96.58,96.58,96.11,96.11
2010-10-28,96.42,96.51,96.42,96.51
2010-10-29,96.55,99.22,96.55,97.1
2010-11-01,97.5,97.5,97.35,97.35
2010-11-02,97.07,97.07,96.27,96.27
2010-11-03,96.72,96.72,95.43,95.43
2010-11-04,95.61,97.06,95.61,97.06
2010-11-05,98.96,99.07,98.96,99.07
2010-11-08,100.33,100.33,100.33,100.33
2010-11-09,101.82,102.3,101.72,102.3
2010-11-10,102.12,102.12,101.45,101.45
2010-11-11,102.32,102.7,102.32,102.7
2010-11-12,101.82,101.82,100.35,100.35
2010-11-15,100.0,102.0,99.86,100.85
2010-11-16,100.01,100.2,98.69,98.69
2010-11-17,98.95,99.18,98.95,99.18
2010-11-18,99.51,99.68,99.1,99.68
2010-11-19,99.23,99.23,98.35,99.12
2010-11-22,100.0,100.0,98.78,99.39
2010-11-23,100.48,103.25,100.4,103.25
2010-11-24,103.45,103.45,102.58,102.63
2010-11-25,103.04,103.04,100.95,102.74
2010-11-26,103.12,103.32,102.5,102.5
2010-11-29,103.01,104.33,103.01,104.33
2010-11-30,105.4,107.53,105.38,106.26
2010-12-01,106.47,106.47,105.85,106.1
2010-12-02,105.24,105.49,105.24,105.49
2010-12-03,105.16,105.25,104.75,105.09
2010-12-06,106.0,106.92,106.0,106.92
2010-12-07,106.57,106.88,105.86,106.1
2010-12-08,105.43,105.5,102.07,104.25
2010-12-09,104.31,104.96,104.31,104.96
2010-12-10,105.0,105.0,103.99,104.3
2010-12-13,105.48,105.48,102.89,104.2
2010-12-14,102.89,104.26,102.89,104.26
2010-12-15,104.49,104.5,103.88,104.28
2010-12-16,103.7,103.7,103.28,103.65
2010-12-17,103.39,104.1,103.22,104.1
2010-12-20,105.07,105.44,105.07,105.44
2010-12-21,105.2,105.56,105.05,105.51
2010-12-22,105.8,105.98,105.58,105.98
2010-12-23,105.47,105.6,105.18,105.18
2010-12-27,105.0,105.0,104.96,104.99
2010-12-28,105.21,107.16,105.21,107.16
2010-12-29,106.85,107.53,106.85,107.21
2010-12-30,106.7,106.7,106.29,106.29
2011-01-03,107.06,107.06,106.0,106.12
2011-01-04,105.42,105.42,103.84,103.95
2011-01-05,104.39,104.39,103.9,104.36
2011-01-06,104.98,105.4,104.76,105.4
2011-01-07,105.11,105.87,103.0,105.87
2011-01-10,106.32,106.33,105.86,105.86
2011-01-11,106.65,106.85,106.22,106.22
2011-01-12,106.53,106.53,105.44,105.45
2011-01-13,105.44,105.44,103.49,103.49
2011-01-14,102.52,102.52,101.52,101.68
2011-01-17,102.42,102.5,101.09,102.31
2011-01-18,102.26,102.58,101.75,102.15
2011-01-19,101.73,101.81,100.24,101.61
2011-01-20,101.45,101.45,99.94,100.24
2011-01-21,99.58,99.58,98.67,98.91
2011-01-24,99.38,99.38,97.22,98.4
2011-01-25,97.37,97.58,96.95,97.24
2011-01-26,97.53,97.53,96.77,96.88
2011-01-27,98.07,98.07,96.08,96.08
2011-01-28,96.01,97.73,95.54,97.73
2011-01-31,97.95,98.07,95.45,96.96
2011-02-01,97.34,97.34,96.31,96.56
2011-02-02,96.49,96.8,96.46,96.69
2011-02-03,96.19,97.64,96.19,97.51
2011-02-04,98.95,99.95,98.34,99.17
2011-02-07,99.08,99.66,99.02,99.5
2011-02-08,99.35,100.83,99.35,100.0
2011-02-09,99.97,99.99,99.27,99.27
2011-02-10,99.41,99.92,98.05,99.92
2011-02-11,100.35,100.69,100.35,100.39
2011-02-14,100.44,101.1,100.33,101.1
2011-02-15,101.21,101.54,101.03,101.54
2011-02-16,101.35,101.49,101.32,101.4
2011-02-17,101.49,101.52,101.35,101.5
2011-02-18,102.13,102.14,101.4,101.61
2011-02-21,102.07,102.76,101.97,102.76
2011-02-22,102.8,102.94,101.99,102.68
2011-02-23,102.05,102.5,101.92,102.42
2011-02-24,102.95,102.95,102.2,102.23
2011-02-25,101.72,102.26,101.29,101.98
2011-02-28,102.48,102.48,101.88,102.29
2011-03-01,102.26,102.94,102.0,102.94
2011-03-02,103.64,103.68,103.25,103.6
2011-03-03,102.83,103.17,101.74,101.96
2011-03-04,101.56,102.23,100.27,102.23
2011-03-07,102.9,102.9,102.1,102.1
2011-03-08,102.13,102.98,102.13,102.63
2011-03-09,102.79,102.82,102.37,102.37
2011-03-10,103.02,103.02,101.86,101.86
2011-03-11,102.35,103.56,102.01,102.01
2011-03-14,102.03,102.2,101.67,101.86
2011-03-15,101.7,101.7,98.95,99.75
2011-03-16,100.1,101.74,99.33,100.19
2011-03-17,99.7,99.89,99.7,99.76
2011-03-18,100.33,100.33,99.94,99.94
2011-03-21,100.53,101.0,100.53,100.61
2011-03-22,100.25,101.0,99.87,100.33
2011-03-23,100.66,101.8,100.66,101.8
2011-03-24,102.09,102.82,100.83,101.61
2011-03-25,101.14,101.31,101.12,101.12
2011-03-28,101.04,101.04,100.31,100.47
2011-03-29,100.43,100.86,100.14,100.86
2011-03-30,100.63,101.36,99.71,100.29
2011-03-31,100.6,102.32,100.37,101.11
2011-04-01,101.18,101.23,100.3,100.3
2011-04-04,100.69,100.88,100.69,100.81
2011-04-05,101.16,101.63,100.85,101.63
2011-04-06,101.74,102.03,101.45,101.45
2011-04-07,102.0,102.12,101.9,102.12
2011-04-08,101.61,101.82,101.6,101.82
2011-04-11,101.54,101.6,101.43,101.6
2011-04-12,99.96,100.12,98.99,100.12
2011-04-13,100.42,100.55,100.35,100.55
2011-04-14,100.7,101.35,100.7,101.35
2011-04-15,101.82,102.58,101.72,102.58
2011-04-18,103.3,105.2,103.3,105.03
2011-04-19,104.56,104.56,104.13,104.13
2011-04-20,104.04,104.04,103.3,103.48
2011-04-21,102.8,103.15,102.67,103.08
2011-04-26,103.12,103.12,102.2,102.41
2011-04-27,102.53,102.81,102.46,102.81
2011-04-28,102.99,103.55,102.88,103.55
2011-04-29,103.08,103.88,103.02,103.88
2011-05-02,104.78,105.33,104.44,105.33
2011-05-03,103.9,104.1,103.47,103.61
2011-05-04,103.12,103.22,102.31,102.31
2011-05-05,102.0,102.4,100.85,101.65
2011-05-06,102.01,102.79,102.01,102.73
2011-05-09,104.43,105.55,104.41,105.37
2011-05-10,105.31,105.57,104.42,105.45
2011-05-11,105.17,105.35,105.17,105.35
2011-05-12,104.93,105.29,104.48,104.85
2011-05-13,105.66,105.99,105.37,105.86
2011-05-16,105.64,105.7,105.23,105.23
2011-05-17,104.31,104.35,104.0,104.05
2011-05-18,104.98,104.98,104.83,104.83
2011-05-19,104.52,104.52,104.29,104.29
2011-05-20,104.46,106.46,104.46,106.46
2011-05-23,107.76,107.76,107.58,107.59
2011-05-24,107.7,107.94,107.61,107.77
2011-05-25,108.49,108.51,108.14,108.26
2011-05-26,107.29,107.6,107.29,107.6
2011-05-27,107.41,107.41,107.41,107.41
2011-05-30,108.46,108.46,107.25,107.53
2011-05-31,106.71,106.77,106.29,106.77
2011-06-01,106.1,107.04,106.02,107.04
2011-06-02,105.42,105.42,105.42,105.42
2011-06-03,107.03,107.03,105.19,105.19
2011-06-06,105.28,105.95,105.22,105.94
2011-06-07,104.7,104.71,104.7,104.71
2011-06-08,104.78,105.23,104.78,105.23
2011-06-09,104.88,106.16,104.8,106.16
2011-06-10,106.62,106.62,105.69,106.53
2011-06-13,105.88,105.88,105.88,105.88
